D-5477/2012	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	11	1	1	0	0	0	1	0	0	0	0	0	D	D-	D-5	012	12	2	0	0	B_CITATION

qu	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	2	0	0	0	0	0	0	0	0	0	0	0	q	qu	qu	qu	qu	u	0	0	I_CITATION
'	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	1	0	0	0	0	0	0	0	0	0	0	0	'	'	'	'	'	'	0	0	O
en	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	2	0	0	0	0	0	0	0	0	0	1	0	e	en	en	en	en	n	0	0	O
vertu	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	5	0	0	0	0	0	0	0	0	0	0	0	v	ve	ver	rtu	tu	u	0	0	O
de	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	2	0	0	0	0	0	0	0	0	0	1	0	d	de	de	de	de	e	0	0	O
l	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	1	0	0	0	0	0	0	0	0	0	0	0	l	l	l	l	l	l	0	0	O
'	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	1	0	0	0	0	0	0	0	0	0	0	0	'	'	'	'	'	'	0	0	O
art	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	3	0	0	0	0	0	0	0	0	0	1	0	a	ar	art	art	rt	t	0	0	O
.	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	1	0	0	0	0	1	0	0	0	0	0	0	.	.	.	.	.	.	0	0	O

31	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	2	0	0	0	0	0	1	0	0	0	0	0	3	31	31	31	31	1	0	0	O
de	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	2	0	0	0	0	0	0	0	0	0	1	0	d	de	de	de	de	e	0	0	O
la	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	2	0	0	0	0	0	0	0	0	0	1	0	l	la	la	la	la	a	0	0	O
loi	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	3	0	0	0	0	0	0	0	0	0	1	0	l	lo	loi	loi	oi	i	0	0	O
du	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	2	0	0	0	0	0	0	1	0	0	1	0	d	du	du	du	du	u	0	0	O
17	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	2	0	0	0	0	0	1	0	0	0	0	0	1	17	17	17	17	7	0	0	O
juin	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	4	0	0	0	0	0	0	0	0	0	1	1	j	ju	jui	uin	in	n	0	0	O
2005	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	4	0	0	0	0	0	1	0	0	0	0	0	2	20	200	005	05	5	0	0	O
sur	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	3	0	0	0	0	0	0	0	0	0	1	0	s	su	sur	sur	ur	r	0	0	O
le	0a2f1454-1884-49e3-b072-0c1ee4cbcf93.txt	2	0	0	0	0	0	0	0	0	0	1	0	l	le	le	le	le	e	0	0	O
